,Nation,Olympic,Gold,Silver,Bronze,event_count,date,label,GDP
947,United Arab Emirates,beijing-2008,0,0,0,6,2008,summer,315474615738.598
1458,South Africa,sydney-2000,0,2,3,19,2000,summer,136361854808.496
1459,Pakistan,sydney-2000,0,0,0,5,2000,summer,73952374969.7995
1460,Malaysia,sydney-2000,0,0,0,8,2000,summer,93789736842.1053
946,Puerto Rico,beijing-2008,0,0,0,7,2008,summer,93639316000.0
945,Benin,beijing-2008,0,0,0,2,2008,summer,7132787396.66547
944,Belize,beijing-2008,0,0,0,1,2008,summer,1368625150.0
1465,Chile,sydney-2000,0,0,1,13,2000,summer,77860932151.8471
1490,Senegal,sydney-2000,0,0,0,4,2000,summer,4679604753.55711
1491,Armenia,sydney-2000,0,0,1,7,2000,summer,1911563665.3900602
1492,Guinea-Bissau,sydney-2000,0,0,0,1,2000,summer,370173851.946119
1515,Vietnam,sydney-2000,0,1,0,3,2000,summer,31172518403.3162
1516,Cyprus,sydney-2000,0,0,0,4,2000,summer,10183317624.8822
1518,United Arab Emirates,sydney-2000,0,0,0,2,2000,summer,104337372362.151
1519,Malta,sydney-2000,0,0,0,3,2000,summer,4306192435.82207
1520,Andorra,sydney-2000,0,0,0,3,2000,summer,1434429703.33518
1521,Angola,sydney-2000,0,0,0,5,2000,summer,9129594818.60749
1522,Nepal,sydney-2000,0,0,0,2,2000,summer,5494252207.905021
1523,Liechtenstein,sydney-2000,0,0,0,1,2000,summer,2483953102.79488
1524,Oman,sydney-2000,0,0,0,2,2000,summer,19507412223.6671
1525,Barbados,sydney-2000,0,0,1,5,2000,summer,3121500000.0
1527,Iceland,sydney-2000,0,0,1,4,2000,summer,8946079678.43696
1528,Syrian Arab Republic,sydney-2000,0,0,0,4,2000,summer,19325894913.1254
1529,Bermuda,sydney-2000,0,0,0,3,2000,summer,3480219000.0
1530,Bhutan,sydney-2000,0,0,0,1,2000,summer,439158233.199822
1531,Central African Republic,sydney-2000,0,0,0,1,2000,summer,914500299.097034
1532,Vanuatu,sydney-2000,0,0,0,1,2000,summer,272014693.050806
1533,Antigua and Barbuda,sydney-2000,0,0,0,1,2000,summer,830158768.888889
1514,San Marino,sydney-2000,0,0,0,3,2000,summer,1101897071.8190901
1513,Bosnia and Herzegovina,sydney-2000,0,0,0,3,2000,summer,5505984455.95855
1512,Sri Lanka,sydney-2000,0,1,0,4,2000,summer,16330814179.9766
1501,Ecuador,sydney-2000,0,0,0,4,2000,summer,18327764882.4412
1493,Honduras,sydney-2000,0,0,0,3,2000,summer,7103529494.374121
1495,Palau,sydney-2000,0,0,0,2,2000,summer,147832600.0
1496,Myanmar,sydney-2000,0,0,0,3,2000,summer,8905066163.58643
1497,Papua New Guinea,sydney-2000,0,0,0,2,2000,summer,3521348154.79666
1498,Albania,sydney-2000,0,0,0,2,2000,summer,3632043907.9773297
1499,Sierra Leone,sydney-2000,0,0,0,1,2000,summer,635874002.198748
1500,Dominican Republic,sydney-2000,0,0,0,3,2000,summer,23996063503.0497
1502,Tonga,sydney-2000,0,0,0,1,2000,summer,202363492.160332
1511,Bangladesh,sydney-2000,0,0,0,2,2000,summer,53369787318.6245
1504,Fiji,sydney-2000,0,0,0,3,2000,summer,1684109743.49338
1505,Lebanon,sydney-2000,0,0,0,3,2000,summer,17260364842.4544
1506,Nicaragua,sydney-2000,0,0,0,4,2000,summer,5107329007.0922
1509,Panama,sydney-2000,0,0,0,3,2000,summer,12304115000.0
1510,Zimbabwe,sydney-2000,0,0,0,5,2000,summer,6689957600.0
914,Philippines,beijing-2008,0,0,0,7,2008,summer,174195135053.121
1756,Panama,atlanta-1996,0,0,0,6,1996,summer,9870494000.0
1759,Antigua and Barbuda,atlanta-1996,0,0,0,2,1996,summer,633730629.62963
1760,Slovenia,atlanta-1996,0,2,0,8,1996,summer,21480023016.9972
1761,Bhutan,atlanta-1996,0,0,0,1,1996,summer,316420860.852385
1763,Malaysia,atlanta-1996,0,1,1,8,1996,summer,100854996422.60901
1764,Chile,atlanta-1996,0,0,0,11,1996,summer,78039572221.6024
1765,Trinidad and Tobago,atlanta-1996,0,0,2,6,1996,summer,5759537726.26601
1766,Ghana,atlanta-1996,0,0,0,3,1996,summer,6934984709.480121
1767,Saudi Arabia,atlanta-1996,0,0,0,5,1996,summer,158662398744.993
1768,Belize,atlanta-1996,0,0,0,2,1996,summer,641383800.0
1769,United Arab Emirates,atlanta-1996,0,0,0,3,1996,summer,73571233996.1863
1771,Zimbabwe,atlanta-1996,0,0,0,6,1996,summer,8553146600.0
1772,Bermuda,atlanta-1996,0,0,0,4,1996,summer,2695390000.0
1773,Aruba,atlanta-1996,0,0,0,2,1996,summer,1379888268.15642
1774,Oman,atlanta-1996,0,0,0,3,1996,summer,15277763328.9987
1753,Colombia,atlanta-1996,0,0,0,11,1996,summer,97160109277.8087
1752,Cambodia,atlanta-1996,0,0,0,3,1996,summer,3506695719.57259
1735,Andorra,atlanta-1996,0,0,0,5,1996,summer,1223945356.6268198
1737,Monaco,atlanta-1996,0,0,0,3,1996,summer,3137848783.0840397
1741,Vietnam,atlanta-1996,0,0,0,3,1996,summer,24657470574.7501
1742,Peru,atlanta-1996,0,0,0,8,1996,summer,55252414130.3019
1744,Guinea-Bissau,atlanta-1996,0,0,0,1,1996,summer,270419779.418107
1745,Pakistan,atlanta-1996,0,0,0,4,1996,summer,63320122807.1223
1747,Latvia,atlanta-1996,0,1,0,13,1996,summer,5970044665.64574
1750,Albania,atlanta-1996,0,0,0,4,1996,summer,3314898291.75235
1751,Cyprus,atlanta-1996,0,0,0,4,1996,summer,9899623588.456709
1775,Libya,atlanta-1996,0,0,0,2,1996,summer,27884615384.6154
1776,Cayman Islands,atlanta-1996,0,0,0,2,1996,summer,1012444074.07495
1777,Suriname,atlanta-1996,0,0,0,2,1996,summer,860630922.693267
1778,Singapore,atlanta-1996,0,0,0,6,1996,summer,96403758865.2482
1801,Solomon Islands,atlanta-1996,0,0,0,1,1996,summer,565163750.5607901
1802,Nepal,atlanta-1996,0,0,0,4,1996,summer,4521580381.47139
1805,Rwanda,atlanta-1996,0,0,0,1,1996,summer,1382334879.40812
1808,Namibia,atlanta-1996,0,2,0,4,1996,summer,3945340776.4054604
1810,Zambia,atlanta-1996,0,1,0,2,1996,summer,3597220962.00017
1811,Sierra Leone,atlanta-1996,0,0,0,3,1996,summer,941742152.7098949
1812,Mozambique,atlanta-1996,0,0,1,3,1996,summer,3523842274.8966203
1813,Lesotho,atlanta-1996,0,0,0,1,1996,summer,946123275.8821199
1814,Swaziland,atlanta-1996,0,0,0,3,1996,summer,1602760100.4814699
1815,Malawi,atlanta-1996,0,0,0,1,1996,summer,2281039097.69299
1816,Niger,atlanta-1996,0,0,0,1,1996,summer,1987770898.5433397
1818,Central African Republic,atlanta-1996,0,0,0,1,1996,summer,1007791186.2010599
1800,Tonga,atlanta-1996,0,1,0,2,1996,summer,219583570.094975
1798,Samoa,atlanta-1996,0,0,0,2,1996,summer,249908970.65897098
1787,Djibouti,atlanta-1996,0,0,0,2,1996,summer,494004647.73437
1779,Philippines,atlanta-1996,0,1,0,6,1996,summer,82848140618.0266
1780,Bolivia,atlanta-1996,0,0,0,4,1996,summer,7396966657.470541
1782,Seychelles,atlanta-1996,0,0,0,4,1996,summer,503068472.20265996
1785,Qatar,atlanta-1996,0,0,0,4,1996,summer,9059340384.61539
1786,Bahrain,atlanta-1996,0,0,0,1,1996,summer,6101861436.17021
1797,Papua New Guinea,atlanta-1996,0,0,0,2,1996,summer,5155485419.7
1792,Angola,atlanta-1996,0,0,0,4,1996,summer,7526446605.51712
1793,Uganda,atlanta-1996,0,0,1,4,1996,summer,6044585326.938001
1794,Lebanon,atlanta-1996,0,0,0,1,1996,summer,13690217333.2697
1795,Sudan,atlanta-1996,0,0,0,2,1996,summer,9018243044.45155
1731,Gabon,atlanta-1996,0,0,0,2,1996,summer,5694040336.82571
889,Morocco,beijing-2008,0,1,1,7,2008,summer,92507257783.5697
1659,Austria,atlanta-1996,0,1,2,18,1996,summer,237250948791.26602
907,Bermuda,beijing-2008,0,0,0,3,2008,summer,6109928000.0
906,Greece,beijing-2008,0,2,1,22,2008,summer,354460802548.704
1662,Argentina,atlanta-1996,0,2,1,21,1996,summer,272149750000.0
902,Luxembourg,beijing-2008,0,0,0,6,2008,summer,55849686538.7432
1669,Kuwait,atlanta-1996,0,0,0,8,1996,summer,31493987641.9506
1670,Barbados,atlanta-1996,0,0,0,6,1996,summer,2411872918.01323
895,Chile,beijing-2008,0,1,0,17,2008,summer,179638496278.57397
1675,Puerto Rico,atlanta-1996,0,0,1,15,1996,summer,45340835000.0
891,Sweden,beijing-2008,0,4,1,23,2008,summer,513965650650.11896
1678,Paraguay,atlanta-1996,0,0,0,4,1996,summer,9788391732.82899
1679,Tunisia,atlanta-1996,0,0,1,9,1996,summer,19587322786.1105
1680,El Salvador,atlanta-1996,0,0,0,5,1996,summer,10315500000.0
1658,Georgia,atlanta-1996,0,0,2,11,1996,summer,3094915505.9093
1657,Uzbekistan,atlanta-1996,0,1,1,11,1996,summer,13948892215.5689
1654,Mongolia,atlanta-1996,0,0,1,7,1996,summer,1345719472.35883
910,Malaysia,beijing-2008,0,1,0,10,2008,summer,230813597937.526
913,Myanmar,beijing-2008,0,0,0,3,2008,summer,31862554101.9378
890,Qatar,beijing-2008,0,0,0,6,2008,summer,115270054945.055
1683,Bosnia and Herzegovina,atlanta-1996,0,0,0,7,1996,summer,2786045321.63743
1684,Guatemala,atlanta-1996,0,0,0,12,1996,summer,15674852771.1356
1709,Estonia,atlanta-1996,0,0,0,14,1996,summer,4746109767.1999
1710,Iceland,atlanta-1996,0,0,0,4,1996,summer,7501950115.789471
1711,Fiji,atlanta-1996,0,0,0,4,1996,summer,2129266728.42585
1712,Uruguay,atlanta-1996,0,0,0,9,1996,summer,20515465834.0682
1713,Mexico,atlanta-1996,0,0,1,20,1996,summer,397404140458.45703
1716,Israel,atlanta-1996,0,0,1,9,1996,summer,109957321960.084
1717,Malta,atlanta-1996,0,0,0,5,1996,summer,3570271557.8847103
1720,Liechtenstein,atlanta-1996,0,0,0,2,1996,summer,2504033252.4271803
1721,Honduras,atlanta-1996,0,0,0,3,1996,summer,4034037162.16216
1722,Morocco,atlanta-1996,0,0,2,6,1996,summer,43161452678.4383
1723,Azerbaijan,atlanta-1996,0,1,0,8,1996,summer,3176749593.11788
1725,Lithuania,atlanta-1996,0,0,1,13,1996,summer,8385109020.28485
1726,Haiti,atlanta-1996,0,0,0,3,1996,summer,2907517543.3645
1727,Cameroon,atlanta-1996,0,0,0,4,1996,summer,10513387441.6194
1708,Senegal,atlanta-1996,0,0,0,3,1996,summer,5065830414.04947
1707,Dominican Republic,atlanta-1996,0,0,0,6,1996,summer,18131813000.6281
856,Colombia,beijing-2008,0,2,1,17,2008,summer,243982436734.233
877,Peru,beijing-2008,0,0,0,10,2008,summer,120550599815.441
888,Austria,beijing-2008,0,1,2,18,2008,summer,430294287388.31104
887,Burkina Faso,beijing-2008,0,0,0,3,2008,summer,8369637065.40255
884,Ireland,beijing-2008,0,1,2,14,2008,summer,275020018163.176
883,Senegal,beijing-2008,0,0,0,6,2008,summer,13439023281.4707
1691,Mauritius,atlanta-1996,0,0,0,6,1996,summer,4421943910.49749
879,South Africa,beijing-2008,0,1,0,22,2008,summer,287099991516.9
1694,Turkmenistan,atlanta-1996,0,0,0,5,1996,summer,2379281767.9558
866,Israel,beijing-2008,0,0,1,11,2008,summer,215840354626.53302
874,Algeria,beijing-2008,0,1,1,12,2008,summer,171000691877.714
1697,India,atlanta-1996,0,0,1,12,1996,summer,387656017799.599
1700,Nicaragua,atlanta-1996,0,0,0,5,1996,summer,4308351902.78601
1701,Luxembourg,atlanta-1996,0,0,0,4,1996,summer,21776609771.987
1704,Tajikistan,atlanta-1996,0,0,0,5,1996,summer,1043893062.60575
955,Mali,beijing-2008,0,0,0,3,2008,summer,9750822511.47988
956,Niger,beijing-2008,0,0,0,2,2008,summer,5403363917.3096
1013,Aruba,beijing-2008,0,0,0,2,2008,summer,2791960893.85475
1194,Finland,athens-2004,0,2,0,11,2004,summer,196768065557.487
1195,Botswana,athens-2004,0,0,0,2,2004,summer,8957467706.5354
1196,Sri Lanka,athens-2004,0,0,0,3,2004,summer,20662525941.2986
1197,Burundi,athens-2004,0,0,0,2,2004,summer,915257323.3961
1199,Libya,athens-2004,0,0,0,4,2004,summer,33122307692.3077
1201,Colombia,athens-2004,0,0,2,15,2004,summer,117074863821.85
1202,Central African Republic,athens-2004,0,0,0,2,2004,summer,1270080250.6526802
1011,Togo,beijing-2008,0,0,1,3,2008,summer,3163416242.0587697
1204,Andorra,athens-2004,0,0,0,3,2004,summer,2935659299.72684
1205,Ecuador,athens-2004,0,0,0,6,2004,summer,36591661000.0
1206,Rwanda,athens-2004,0,0,0,2,2004,summer,2089188828.7970002
1207,Guatemala,athens-2004,0,0,0,8,2004,summer,23965275995.7214
1208,Philippines,athens-2004,0,0,0,6,2004,summer,91371239764.8818
1209,Lesotho,athens-2004,0,0,0,2,2004,summer,1511236655.52047
1210,Mongolia,athens-2004,0,0,1,7,2004,summer,1992066808.0959802
1012,Equatorial Guinea,beijing-2008,0,0,0,1,2008,summer,19749893536.3204
1191,Portugal,athens-2004,0,2,1,16,2004,summer,189187437298.237
1259,Afghanistan,athens-2004,0,0,0,2,2004,summer,5285465685.86423
1014,Fiji,beijing-2008,0,0,0,4,2008,summer,3523185919.55826
1171,Uruguay,athens-2004,0,0,0,4,2004,summer,13686329890.1191
1173,Peru,athens-2004,0,0,0,9,2004,summer,66768703497.5687
1174,Algeria,athens-2004,0,0,0,10,2004,summer,85324998813.604
1021,Nicaragua,beijing-2008,0,0,0,3,2008,summer,8496965842.2767
1176,India,athens-2004,0,1,0,13,2004,summer,699688852930.441
1020,Seychelles,beijing-2008,0,0,0,4,2008,summer,967199593.960157
1178,Vietnam,athens-2004,0,0,0,6,2004,summer,45427854693.2554
1179,Nigeria,athens-2004,0,0,2,9,2004,summer,87845420504.485
1019,Kiribati,beijing-2008,0,0,0,1,2008,summer,139125482.301627
1181,Puerto Rico,athens-2004,0,0,0,14,2004,summer,80322313000.0
1182,Angola,athens-2004,0,0,0,4,2004,summer,19640848728.8937
1018,Malta,beijing-2008,0,0,0,3,2008,summer,8977149553.24447
1017,American Samoa,beijing-2008,0,0,0,2,2008,summer,563000000.0
1016,Lebanon,beijing-2008,0,0,0,3,2008,summer,29227350570.0166
1186,Panama,athens-2004,0,0,0,2,2004,summer,15013381700.0
1187,Qatar,athens-2004,0,0,0,4,2004,summer,31734065934.0659
1015,Kuwait,beijing-2008,0,0,0,4,2008,summer,147395833333.333
1189,Equatorial Guinea,athens-2004,0,0,0,1,2004,summer,4410764338.66733
1214,Bahrain,athens-2004,0,0,0,4,2004,summer,13150166755.3191
1239,Chad,athens-2004,0,0,0,1,2004,summer,4414929219.99649
1240,Namibia,athens-2004,0,0,0,5,2004,summer,6606858786.01174
1241,Saudi Arabia,athens-2004,0,0,0,6,2004,summer,258742133333.333
1242,Luxembourg,athens-2004,0,0,0,5,2004,summer,34685281847.5292
1244,El Salvador,athens-2004,0,0,0,6,2004,summer,15798300000.0
1245,Bermuda,athens-2004,0,0,0,5,2004,summer,4484703000.0
1247,Singapore,athens-2004,0,0,0,5,2004,summer,114188557567.152
1248,Jordan,athens-2004,0,0,0,4,2004,summer,11411390409.0268
1249,Honduras,athens-2004,0,0,0,2,2004,summer,8772194250.27021
1250,Bosnia and Herzegovina,athens-2004,0,0,0,6,2004,summer,10022840634.9206
1253,Albania,athens-2004,0,0,0,3,2004,summer,7314865175.6199
1254,Palau,athens-2004,0,0,0,2,2004,summer,173373900.0
1255,Guinea-Bissau,athens-2004,0,0,0,1,2004,summer,531109356.165462
1256,Armenia,athens-2004,0,0,0,6,2004,summer,3576615240.41616
1238,Barbados,athens-2004,0,0,0,4,2004,summer,3514350000.0
1236,Mozambique,athens-2004,0,0,0,2,2004,summer,6831808930.39816
1225,Malaysia,athens-2004,0,0,0,11,2004,summer,124749736842.105
1218,Sudan,athens-2004,0,0,0,1,2004,summer,21457470202.7839
1009,Mozambique,beijing-2008,0,0,0,3,2008,summer,11494837053.4061
1220,Senegal,athens-2004,0,0,0,5,2004,summer,8031344381.09898
1221,Latvia,athens-2004,0,4,0,10,2004,summer,14373269155.7174
1223,Trinidad and Tobago,athens-2004,0,0,1,4,2004,summer,13280275123.0354
1224,Grenada,athens-2004,0,0,0,2,2004,summer,599118592.592593
1226,Bolivia,athens-2004,0,0,0,3,2004,summer,8773451738.911291
1235,Iceland,athens-2004,0,0,0,5,2004,summer,13703315349.2507
1227,Mauritius,athens-2004,0,0,0,5,2004,summer,6385695187.0102
1228,Sao Tome and Principe,athens-2004,0,0,0,1,2004,summer,105360801.94183101
1229,Madagascar,athens-2004,0,0,0,4,2004,summer,4363934494.37405
1230,Tajikistan,athens-2004,0,0,0,5,2004,summer,2076148695.5058103
1008,Bosnia and Herzegovina,beijing-2008,0,0,0,4,2008,summer,19112739664.4697
1232,Ghana,athens-2004,0,0,0,2,2004,summer,8881368538.07671
1233,Eritrea,athens-2004,0,0,1,1,2004,summer,1109054005.43971
1234,Uganda,athens-2004,0,0,0,4,2004,summer,7940362799.179971
1022,Nauru,beijing-2008,0,0,0,1,2008,summer,39333572.3247894
1024,Tonga,beijing-2008,0,0,0,1,2008,summer,349484427.609428
1025,Tuvalu,beijing-2008,0,0,0,1,2008,summer,30290219.7617849
1148,Mexico,athens-2004,0,3,1,19,2004,summer,770267585947.1909
1040,Maldives,beijing-2008,0,0,0,1,2008,summer,2271646188.1447396
1039,Malawi,beijing-2008,0,0,0,1,2008,summer,5320925102.29496
1037,Guyana,beijing-2008,0,0,0,1,2008,summer,1922598121.2306602
1036,Swaziland,beijing-2008,0,0,0,1,2008,summer,3294093485.20796
1154,Tunisia,athens-2004,0,0,0,14,2004,summer,31183139301.4853
1035,Vanuatu,beijing-2008,0,0,0,1,2008,summer,607958616.1434151
1156,Paraguay,athens-2004,0,1,0,3,2004,summer,8033877360.41697
1033,Oman,beijing-2008,0,0,0,2,2008,summer,60905331599.4798
1032,San Marino,beijing-2008,0,0,0,2,2008,summer,2752307016.25897
1031,Bangladesh,beijing-2008,0,0,0,2,2008,summer,91631278239.3237
1030,Paraguay,beijing-2008,0,0,0,4,2008,summer,18504130752.9922
1029,Barbados,beijing-2008,0,0,0,2,2008,summer,4607300000.0
1163,Estonia,athens-2004,0,1,2,11,2004,summer,12059201242.236
1028,Singapore,beijing-2008,0,1,0,5,2008,summer,192225881687.75198
1027,Solomon Islands,beijing-2008,0,0,0,1,2008,summer,608293860.271816
1042,Comoros,beijing-2008,0,0,0,1,2008,summer,523134896.968654
1043,Antigua and Barbuda,beijing-2008,0,0,0,1,2008,summer,1368431037.03704
1130,Ireland,athens-2004,0,0,0,12,2004,summer,193870345294.26398
1044,Suriname,beijing-2008,0,0,0,1,2008,summer,3532969034.60838
1141,Slovenia,athens-2004,0,1,3,10,2004,summer,34470227453.9113
1258,Guam,athens-2004,0,0,0,2,2004,summer,3857000000.0
986,Albania,beijing-2008,0,0,0,5,2008,summer,12881352687.7773
1261,Nepal,athens-2004,0,0,0,3,2004,summer,7273938314.71988
984,Guam,beijing-2008,0,0,0,3,2008,summer,4621000000.0
983,Palau,beijing-2008,0,0,0,2,2008,summer,196711500.0
1421,Samoa,sydney-2000,0,0,0,5,2000,summer,269019710.327456
968,Madagascar,beijing-2008,0,0,0,3,2008,summer,9413002920.97008
967,Armenia,beijing-2008,0,1,4,6,2008,summer,11662040713.8753
965,Sri Lanka,beijing-2008,0,0,0,5,2008,summer,40713812309.7316
964,Guatemala,beijing-2008,0,0,0,9,2008,summer,39136893345.1501
963,Zambia,beijing-2008,0,0,0,3,2008,summer,17910858637.9048
962,Iraq,beijing-2008,0,0,0,1,2008,summer,131613661510.475
1428,Puerto Rico,sydney-2000,0,0,0,8,2000,summer,61701810000.0
1429,Guatemala,sydney-2000,0,0,0,7,2000,summer,19288926545.3759
1431,Uruguay,sydney-2000,0,1,0,8,2000,summer,22823255801.8447
960,Monaco,beijing-2008,0,0,0,4,2008,summer,6919241412.09365
959,Uruguay,beijing-2008,0,0,0,5,2008,summer,30366213095.4256
1435,Monaco,sydney-2000,0,0,0,4,2000,summer,2647883820.18625
1436,Belgium,sydney-2000,0,2,3,17,2000,summer,237904919845.21802
1437,Gabon,sydney-2000,0,0,0,2,2000,summer,5067865320.7979
1438,Turkmenistan,sydney-2000,0,0,0,5,2000,summer,2904662604.82053
958,Jordan,beijing-2008,0,0,0,4,2008,summer,21972004086.2336
957,Ecuador,beijing-2008,0,1,0,8,2008,summer,61762635000.0
1420,Argentina,sydney-2000,0,2,2,21,2000,summer,284203750000.0
1419,Israel,sydney-2000,0,0,1,8,2000,summer,132339311284.42801
1418,Peru,sydney-2000,0,0,0,7,2000,summer,51744749133.213
1407,Seychelles,sydney-2000,0,0,0,4,2000,summer,614879764.7800059
980,Haiti,beijing-2008,0,0,0,2,2008,summer,6548530572.35291
979,Lesotho,beijing-2008,0,0,0,2,2008,summer,1870722800.56166
978,Turkmenistan,beijing-2008,0,0,0,5,2008,summer,19271523178.8079
1404,Georgia,sydney-2000,0,0,6,10,2000,summer,3057453482.55826
977,Central African Republic,beijing-2008,0,0,0,1,2008,summer,1985239276.62611
1406,Mongolia,sydney-2000,0,0,0,5,2000,summer,1136896123.6129801
976,Grenada,beijing-2008,0,0,0,1,2008,summer,825977888.888889
1417,Tunisia,sydney-2000,0,0,0,10,2000,summer,21473188881.5933
1411,Brazil,sydney-2000,0,6,6,27,2000,summer,655421153320.579
973,Botswana,beijing-2008,0,0,0,3,2008,summer,10945070441.9283
972,Uganda,beijing-2008,0,0,0,4,2008,summer,14239026629.639
971,Sierra Leone,beijing-2008,0,0,0,1,2008,summer,2505458705.03338
1415,Portugal,sydney-2000,0,0,2,13,2000,summer,118358489957.619
970,Ghana,beijing-2008,0,0,0,2,2008,summer,28526891010.4925
987,Guinea-Bissau,beijing-2008,0,0,0,1,2008,summer,864136712.9866481
1305,Samoa,athens-2004,0,0,0,1,2004,summer,420320176.359437
1284,Maldives,athens-2004,0,0,0,1,2004,summer,1226829564.81545
1286,Guinea,athens-2004,0,0,0,1,2004,summer,3666349049.42641
1288,Mali,athens-2004,0,0,0,2,2004,summer,5444474268.424911
1289,Burkina Faso,athens-2004,0,0,0,1,2004,summer,4838551099.70985
1290,Antigua and Barbuda,athens-2004,0,0,0,1,2004,summer,919577142.592592
1291,Malawi,athens-2004,0,0,0,1,2004,summer,3476094498.8751698
1293,San Marino,athens-2004,0,0,0,2,2004,summer,1877328035.75863
1294,Malta,athens-2004,0,0,0,3,2004,summer,6062780269.0583
1295,Swaziland,athens-2004,0,0,0,1,2004,summer,2770082791.50412
1296,Zambia,athens-2004,0,0,0,2,2004,summer,6221077674.77871
1298,Guyana,athens-2004,0,0,0,2,2004,summer,785918769.5876349
1299,Monaco,athens-2004,0,0,0,2,2004,summer,4110348444.49411
1300,Pakistan,athens-2004,0,0,0,4,2004,summer,97977766197.6724
1302,Myanmar,athens-2004,0,0,0,2,2004,summer,10567354056.4049
1303,Kiribati,athens-2004,0,0,0,1,2004,summer,102367039.270481
1283,Turkmenistan,athens-2004,0,0,0,4,2004,summer,6838351088.46688
1282,Cambodia,athens-2004,0,0,0,1,2004,summer,5337833248.03924
1281,Niger,athens-2004,0,0,0,1,2004,summer,3052898739.4678
1270,Nicaragua,athens-2004,0,0,0,2,2004,summer,5795568204.64532
1262,Iraq,athens-2004,0,0,0,5,2004,summer,36627901762.062996
1264,Costa Rica,athens-2004,0,0,0,5,2004,summer,18529767934.4743
1265,Haiti,athens-2004,0,0,0,2,2004,summer,3537721020.4115796
1266,Seychelles,athens-2004,0,0,0,4,2004,summer,839319927.272727
1267,Papua New Guinea,athens-2004,0,0,0,2,2004,summer,3927157866.96465
1268,Suriname,athens-2004,0,0,0,1,2004,summer,1484092538.4052699
1269,Aruba,athens-2004,0,0,0,2,2004,summer,2228279329.6089396
1272,Syrian Arab Republic,athens-2004,0,0,1,3,2004,summer,25086930693.0693
1273,Fiji,athens-2004,0,0,0,4,2004,summer,2727507212.92556
1275,Cyprus,athens-2004,0,0,0,5,2004,summer,17422375000.0
1276,Lebanon,athens-2004,0,0,0,2,2004,summer,20955223880.597
1277,Benin,athens-2004,0,0,0,1,2004,summer,4521424807.22519
1279,Bangladesh,athens-2004,0,0,0,2,2004,summer,65108544250.0425
1304,Comoros,athens-2004,0,0,0,1,2004,summer,368143118.68996
1307,American Samoa,athens-2004,0,0,0,1,2004,summer,512000000.0
992,Eritrea,beijing-2008,0,0,0,1,2008,summer,1380188800.0
991,Bahrain,beijing-2008,0,0,0,3,2008,summer,25710877659.5745
989,Angola,beijing-2008,0,0,0,5,2008,summer,84178032716.0971
988,Iceland,beijing-2008,0,1,0,4,2008,summer,17640375722.4448
995,Andorra,beijing-2008,0,0,0,4,2008,summer,4007353156.58415
996,Burundi,beijing-2008,0,0,0,2,2008,summer,1611634331.64869
1308,Bhutan,athens-2004,0,0,0,1,2004,summer,702682018.976169
1309,Tonga,athens-2004,0,0,0,2,2004,summer,229358214.79200298
1310,Liechtenstein,athens-2004,0,0,0,1,2004,summer,3454362685.96703
1311,Kuwait,athens-2004,0,0,0,1,2004,summer,59440108585.0017
1312,Oman,athens-2004,0,0,0,1,2004,summer,24763589076.723
1313,Togo,athens-2004,0,0,0,1,2004,summer,1937074572.08687
1314,Gabon,athens-2004,0,0,0,1,2004,summer,7756293574.98077
1003,Saudi Arabia,beijing-2008,0,0,0,4,2008,summer,519796800000.0
1002,Rwanda,beijing-2008,0,0,0,2,2008,summer,4860576609.21568
1001,Sudan,beijing-2008,0,1,0,2,2008,summer,54526580231.5568
1000,Liberia,beijing-2008,0,0,0,1,2008,summer,850040500.0
998,Liechtenstein,beijing-2008,0,0,0,2,2008,summer,5081432924.0144
997,Cambodia,beijing-2008,0,0,0,2,2008,summer,10351914093.1723
1820,Madagascar,atlanta-1996,0,0,0,4,1996,summer,3995028592.7872205
2307,People's Republic of China,calgary-1988,0,0,0,3,1988,summer,312353631207.819
2310,Belgium,calgary-1988,0,0,0,1,1988,summer,163167853538.124
2311,Romania,calgary-1988,0,0,0,4,1988,summer,40809523809.5238
2312,New Zealand,calgary-1988,0,0,0,3,1988,summer,45176167471.8196
2314,Portugal,calgary-1988,0,0,0,1,1988,summer,56352797353.7604
2315,Jamaica,calgary-1988,0,0,0,1,1988,summer,3828310734.97795
2316,Monaco,calgary-1988,0,0,0,2,1988,summer,2000674667.0826101
2319,Mexico,calgary-1988,0,0,0,3,1988,summer,183144268180.018
707,Malaysia,london-2012,0,1,1,10,2012,summer,314443149443.149
2322,Liechtenstein,calgary-1988,0,0,1,3,1988,summer,1161757671.01756
2323,Iceland,calgary-1988,0,0,0,2,1988,summer,6156487920.21202
2324,Mongolia,calgary-1988,0,0,0,1,1988,summer,3204461566.66667
2325,Greece,calgary-1988,0,0,0,2,1988,summer,76261278404.9964
2326,Argentina,calgary-1988,0,0,0,4,1988,summer,126206817196.091
2327,Turkey,calgary-1988,0,0,0,2,1988,summer,90852814004.9917
2306,Australia,calgary-1988,0,0,0,6,1988,summer,236135768335.274
2282,Qatar,seoul-1988,0,0,0,2,1988,summer,6038187032.96703
2305,Denmark,calgary-1988,0,0,0,1,1988,summer,115552848547.872
2284,Mauritania,seoul-1988,0,0,0,1,1988,summer,957377507.4766859
717,Tajikistan,london-2012,0,0,1,7,2012,summer,7633049792.093209
2287,Norway,calgary-1988,0,3,2,7,1988,summer,101900260856.22198
716,Antigua and Barbuda,london-2012,0,0,0,1,2012,summer,1211411703.7037
