Nation,Olympic,Gold,Silver,Bronze,event_count
Seychelles,moscow-1980,0,0,0,2
Lao People's Democratic Republic,moscow-1980,0,0,0,3
Trinidad and Tobago,moscow-1980,0,0,0,1
Angola,moscow-1980,0,0,0,3
Uganda,moscow-1980,0,1,0,2
Nicaragua,moscow-1980,0,0,0,2
Andorra,moscow-1980,0,0,0,1
Jordan,moscow-1980,0,0,0,1
Benin,moscow-1980,0,0,0,1
Puerto Rico,moscow-1980,0,0,0,1
Netherlands,lake-placid-1980,1,2,1,2
German Democratic Republic (Germany),lake-placid-1980,9,7,7,8
Norway,lake-placid-1980,1,3,6,7
Sweden,lake-placid-1980,3,0,1,9
United States of America,lake-placid-1980,6,4,2,10
Soviet Union,lake-placid-1980,10,6,6,9
Canada,lake-placid-1980,0,1,1,8
Poland,lake-placid-1980,0,0,0,5
Finland,lake-placid-1980,1,5,3,8
Federal Republic of Germany,lake-placid-1980,0,2,2,10
Japan,lake-placid-1980,0,1,0,10
Republic of Korea,lake-placid-1980,0,0,0,3
People's Republic of China,lake-placid-1980,0,0,0,5
Great Britain,lake-placid-1980,1,0,0,7
Switzerland,lake-placid-1980,1,1,3,9
Italy,lake-placid-1980,0,2,0,8
Mongolia,lake-placid-1980,0,0,0,2
Australia,lake-placid-1980,0,0,0,4
Romania,lake-placid-1980,0,0,0,4
France,lake-placid-1980,0,0,1,6
Austria,lake-placid-1980,3,2,2,6
Czechoslovakia,lake-placid-1980,0,0,1,7
Liechtenstein,lake-placid-1980,2,2,0,2
Bulgaria,lake-placid-1980,0,0,1,3
Yugoslavia,lake-placid-1980,0,0,0,4
Iceland,lake-placid-1980,0,0,0,2
Spain,lake-placid-1980,0,0,0,2
Argentina,lake-placid-1980,0,0,0,3
Hungary,lake-placid-1980,0,1,0,1
New Zealand,lake-placid-1980,0,0,0,1
Lebanon,lake-placid-1980,0,0,0,1
Andorra,lake-placid-1980,0,0,0,1
Belgium,lake-placid-1980,0,0,0,1
Greece,lake-placid-1980,0,0,0,1
Cyprus,lake-placid-1980,0,0,0,1
Bolivia,lake-placid-1980,0,0,0,1
Costa Rica,lake-placid-1980,0,0,0,1
Japan,montreal-1976,9,6,10,19
Great Britain,montreal-1976,3,5,5,19
Soviet Union,montreal-1976,49,41,35,24
Republic of Korea,montreal-1976,1,1,4,5
Argentina,montreal-1976,0,0,0,13
France,montreal-1976,2,3,4,20
Democratic People's Republic of Korea,montreal-1976,1,1,0,8
Federal Republic of Germany,montreal-1976,10,12,17,22
Czechoslovakia,montreal-1976,2,2,4,16
Austria,montreal-1976,0,0,1,12
United States of America,montreal-1976,34,35,25,22
Yugoslavia,montreal-1976,2,3,3,13
Hungary,montreal-1976,4,5,13,17
Cuba,montreal-1976,6,4,3,14
Sweden,montreal-1976,4,1,0,16
Liechtenstein,montreal-1976,0,0,0,2
Canada,montreal-1976,0,5,6,26
Finland,montreal-1976,4,2,0,14
Puerto Rico,montreal-1976,0,0,1,12
Poland,montreal-1976,7,6,13,18
German Democratic Republic (Germany),montreal-1976,40,25,25,18
Nicaragua,montreal-1976,0,0,0,4
Senegal,montreal-1976,0,0,0,3
Australia,montreal-1976,0,1,4,20
Spain,montreal-1976,0,2,0,11
Portugal,montreal-1976,0,2,0,5
Switzerland,montreal-1976,1,1,2,13
Italy,montreal-1976,2,7,4,23
Bulgaria,montreal-1976,6,9,7,14
Mongolia,montreal-1976,0,1,0,5
Brazil,montreal-1976,0,0,2,11
"Hong Kong, China",montreal-1976,0,0,0,6
Kuwait,montreal-1976,0,0,0,2
Turkey,montreal-1976,0,0,0,7
Israel,montreal-1976,0,0,0,8
Ecuador,montreal-1976,0,0,0,3
Panama,montreal-1976,0,0,0,4
Netherlands Antilles,montreal-1976,0,0,0,1
Belgium,montreal-1976,0,3,3,17
Singapore,montreal-1976,0,0,0,3
Iceland,montreal-1976,0,0,0,3
Suriname,montreal-1976,0,0,0,1
Venezuela,montreal-1976,0,1,0,4
Thailand,montreal-1976,0,0,1,10
Mexico,montreal-1976,1,0,1,15
Lebanon,montreal-1976,0,0,0,2
Denmark,montreal-1976,1,0,2,14
Norway,montreal-1976,1,1,0,11
New Zealand,montreal-1976,2,1,1,12
Romania,montreal-1976,4,9,14,11
Greece,montreal-1976,0,0,0,8
Monaco,montreal-1976,0,0,0,3
Netherlands,montreal-1976,0,2,3,12
Costa Rica,montreal-1976,0,0,0,3
US Virgin Islands,montreal-1976,0,0,0,6
San Marino,montreal-1976,0,0,0,2
Trinidad and Tobago,montreal-1976,1,0,0,3
Belize,montreal-1976,0,0,0,2
Colombia,montreal-1976,0,0,0,8
Guatemala,montreal-1976,0,0,0,6
Philippines,montreal-1976,0,0,0,5
Bolivia,montreal-1976,0,0,0,5
Chile,montreal-1976,0,0,0,3
Malaysia,montreal-1976,0,0,0,4
Islamic Republic of Iran,montreal-1976,0,1,1,9
India,montreal-1976,0,0,0,5
Ireland,montreal-1976,0,0,0,9
Andorra,montreal-1976,0,0,0,2
Papua New Guinea,montreal-1976,0,0,0,3
Paraguay,montreal-1976,0,0,0,4
Luxembourg,montreal-1976,0,0,0,4
Egypt,montreal-1976,0,0,0,4
Indonesia,montreal-1976,0,0,0,3
Pakistan,montreal-1976,0,0,1,4
Dominican Republic,montreal-1976,0,0,0,3
Tunisia,montreal-1976,0,0,0,4
Chinese Taipei,montreal-1976,0,0,0,1
Nigeria,montreal-1976,0,0,0,2
Bahamas,montreal-1976,0,0,0,3
Cameroon,montreal-1976,0,0,0,2
Jamaica,montreal-1976,1,1,0,4
Uruguay,montreal-1976,0,0,0,4
Peru,montreal-1976,0,0,0,2
Bermuda,montreal-1976,0,0,1,3
Cayman Islands,montreal-1976,0,0,0,1
Fiji,montreal-1976,0,0,0,1
Morocco,montreal-1976,0,0,0,3
Saudi Arabia,montreal-1976,0,0,0,1
Central African Republic,montreal-1976,0,0,0,1
Honduras,montreal-1976,0,0,0,1
Nepal,montreal-1976,0,0,0,1
Haiti,montreal-1976,0,0,0,2
Antigua and Barbuda,montreal-1976,0,0,0,1
Barbados,montreal-1976,0,0,0,1
Kenya,montreal-1976,0,0,0,2
Ghana,montreal-1976,0,0,0,1
Zambia,montreal-1976,0,0,0,1
Guyana,montreal-1976,0,0,0,1
Libya,montreal-1976,0,0,0,1
Burkina Faso,montreal-1976,0,0,0,1
Uganda,montreal-1976,0,0,0,1
Ethiopia,montreal-1976,0,0,0,1
Algeria,montreal-1976,0,0,0,1
Swaziland,montreal-1976,0,0,0,1
Togo,montreal-1976,0,0,0,1
Iraq,montreal-1976,0,0,0,1
Niger,montreal-1976,0,0,0,1
Soviet Union,innsbruck-1976,13,6,8,9
United States of America,innsbruck-1976,3,3,4,10
Finland,innsbruck-1976,2,4,1,8
German Democratic Republic (Germany),innsbruck-1976,7,5,7,8
Switzerland,innsbruck-1976,1,3,1,9
Norway,innsbruck-1976,3,3,1,7
Sweden,innsbruck-1976,0,0,2,7
Federal Republic of Germany,innsbruck-1976,2,5,3,10
Poland,innsbruck-1976,0,0,0,9
Czechoslovakia,innsbruck-1976,0,1,0,9
Italy,innsbruck-1976,1,2,1,9
Canada,innsbruck-1976,1,1,1,8
Austria,innsbruck-1976,2,2,2,10
France,innsbruck-1976,0,0,1,8
Bulgaria,innsbruck-1976,0,0,0,4
Japan,innsbruck-1976,0,0,0,10
Yugoslavia,innsbruck-1976,0,0,0,4
Turkey,innsbruck-1976,0,0,0,2
Iceland,innsbruck-1976,0,0,0,2
Argentina,innsbruck-1976,0,0,0,2
Greece,innsbruck-1976,0,0,0,2
Liechtenstein,innsbruck-1976,0,0,2,3
Great Britain,innsbruck-1976,1,0,0,7
Chinese Taipei,innsbruck-1976,0,0,0,4
Australia,innsbruck-1976,0,0,0,3
New Zealand,innsbruck-1976,0,0,0,1
Lebanon,innsbruck-1976,0,0,0,1
Spain,innsbruck-1976,0,0,0,1
Belgium,innsbruck-1976,0,0,0,2
Romania,innsbruck-1976,0,0,0,4
Chile,innsbruck-1976,0,0,0,1
Andorra,innsbruck-1976,0,0,0,1
Islamic Republic of Iran,innsbruck-1976,0,0,0,1
San Marino,innsbruck-1976,0,0,0,1
Netherlands,innsbruck-1976,1,2,3,2
Republic of Korea,innsbruck-1976,0,0,0,2
Hungary,innsbruck-1976,0,0,0,1
Soviet Union,munich-1972,50,27,22,26
Sweden,munich-1972,4,6,6,18
Hungary,munich-1972,6,13,16,21
Belgium,munich-1972,0,2,0,14
Czechoslovakia,munich-1972,2,4,2,17
German Democratic Republic (Germany),munich-1972,20,23,23,20
Denmark,munich-1972,1,0,0,15
Poland,munich-1972,7,5,9,25
Finland,munich-1972,3,1,4,12
Romania,munich-1972,3,6,7,14
France,munich-1972,2,4,7,21
Austria,munich-1972,0,1,2,16
Federal Republic of Germany,munich-1972,13,11,16,27
Bulgaria,munich-1972,6,10,5,14
United States of America,munich-1972,33,31,30,25
Netherlands,munich-1972,3,1,1,16
Mexico,munich-1972,0,1,0,20
Norway,munich-1972,2,1,1,16
Italy,munich-1972,5,3,10,22
Japan,munich-1972,13,8,8,20
Democratic People's Republic of Korea,munich-1972,1,1,3,9
Switzerland,munich-1972,0,3,0,18
Yugoslavia,munich-1972,2,1,2,15
Canada,munich-1972,0,2,3,20
Great Britain,munich-1972,4,5,9,20
Cuba,munich-1972,3,1,4,13
Brazil,munich-1972,0,0,2,13
Ireland,munich-1972,0,0,0,10
Puerto Rico,munich-1972,0,0,0,7
"Hong Kong, China",munich-1972,0,0,0,3
Australia,munich-1972,8,7,2,18
US Virgin Islands,munich-1972,0,0,0,3
Thailand,munich-1972,0,0,0,8
Spain,munich-1972,0,0,1,14
Bermuda,munich-1972,0,0,0,2
New Zealand,munich-1972,1,1,1,13
Argentina,munich-1972,0,1,0,13
Bahamas,munich-1972,0,0,0,4
Philippines,munich-1972,0,0,0,10
Greece,munich-1972,0,2,0,8
Israel,munich-1972,0,0,0,5
Trinidad and Tobago,munich-1972,0,0,0,4
India,munich-1972,0,0,1,7
Portugal,munich-1972,0,0,0,7
Chinese Taipei,munich-1972,0,0,0,11
Jamaica,munich-1972,0,0,1,5
Dominican Republic,munich-1972,0,0,0,3
Albania,munich-1972,0,0,0,2
Myanmar,munich-1972,0,0,0,4
Indonesia,munich-1972,0,0,0,3
Colombia,munich-1972,0,1,2,7
Islamic Republic of Iran,munich-1972,0,2,1,6
Republic of Korea,munich-1972,0,1,0,6
Panama,munich-1972,0,0,0,3
Mongolia,munich-1972,0,1,0,7
Netherlands Antilles,munich-1972,0,0,0,2
Sudan,munich-1972,0,0,0,4
Barbados,munich-1972,0,0,0,5
Iceland,munich-1972,0,0,0,2
Turkey,munich-1972,0,1,0,6
Lebanon,munich-1972,0,1,0,8
Pakistan,munich-1972,0,1,0,4
Guyana,munich-1972,0,0,0,2
Malaysia,munich-1972,0,0,0,6
Senegal,munich-1972,0,0,0,5
Egypt,munich-1972,0,0,0,4
Tunisia,munich-1972,0,1,0,5
Luxembourg,munich-1972,0,0,0,4
Ethiopia,munich-1972,0,0,2,3
Uruguay,munich-1972,0,0,0,2
San Marino,munich-1972,0,0,0,2
Cameroon,munich-1972,0,0,0,2
Liechtenstein,munich-1972,0,0,0,3
Malawi,munich-1972,0,0,0,3
Togo,munich-1972,0,0,0,3
Peru,munich-1972,0,0,0,6
Malta,munich-1972,0,0,0,2
Morocco,munich-1972,0,0,0,5
Ghana,munich-1972,0,0,1,3
Nigeria,munich-1972,0,0,1,2
Kenya,munich-1972,2,3,4,4
United Republic of Tanzania,munich-1972,0,0,0,2
Uganda,munich-1972,1,1,0,3
Cambodia,munich-1972,0,0,0,2
Venezuela,munich-1972,0,0,0,4
Zambia,munich-1972,0,0,0,2
Niger,munich-1972,0,0,1,1
Gabon,munich-1972,0,0,0,1
Chad,munich-1972,0,0,0,1
Nicaragua,munich-1972,0,0,0,3
Benin,munich-1972,0,0,0,2
Chile,munich-1972,0,0,0,4
Singapore,munich-1972,0,0,0,2
Ecuador,munich-1972,0,0,0,2
Algeria,munich-1972,0,0,0,1
Bolivia,munich-1972,0,0,0,3
Monaco,munich-1972,0,0,0,1
Syrian Arab Republic,munich-1972,0,0,0,2
Swaziland,munich-1972,0,0,0,2
South Vietnam,munich-1972,0,0,0,1
Belize,munich-1972,0,0,0,1
Costa Rica,munich-1972,0,0,0,3
El Salvador,munich-1972,0,0,0,2
Paraguay,munich-1972,0,0,0,2
Sri Lanka,munich-1972,0,0,0,2
Guatemala,munich-1972,0,0,0,3
Rhodesia,munich-1972,0,0,0,1
Ivory Coast,munich-1972,0,0,0,1
Saudi Arabia,munich-1972,0,0,0,1
Somalia,munich-1972,0,0,0,1
Kuwait,munich-1972,0,0,0,1
Madagascar,munich-1972,0,0,0,2
Nepal,munich-1972,0,0,0,1
Haiti,munich-1972,0,0,0,1
Liberia,munich-1972,0,0,0,1
Fiji,munich-1972,0,0,0,1
Mali,munich-1972,0,0,0,2
Suriname,munich-1972,0,0,0,1
Afghanistan,munich-1972,0,0,0,1
Soviet Union,sapporo-1972,8,5,3,9
United States of America,sapporo-1972,3,2,3,10
Czechoslovakia,sapporo-1972,1,0,2,6
Sweden,sapporo-1972,1,1,2,9
Finland,sapporo-1972,0,4,1,6
Poland,sapporo-1972,1,0,0,8
Federal Republic of Germany,sapporo-1972,3,1,1,10
Norway,sapporo-1972,2,5,5,8
Japan,sapporo-1972,1,1,1,10
Switzerland,sapporo-1972,4,3,3,6
Yugoslavia,sapporo-1972,0,0,0,4
German Democratic Republic (Germany),sapporo-1972,4,3,7,7
Italy,sapporo-1972,2,2,1,9
France,sapporo-1972,0,1,2,9
Canada,sapporo-1972,0,1,0,7
Austria,sapporo-1972,1,2,2,8
Great Britain,sapporo-1972,0,0,0,7
Bulgaria,sapporo-1972,0,0,0,2
Mongolia,sapporo-1972,0,0,0,2
Chinese Taipei,sapporo-1972,0,0,0,2
Romania,sapporo-1972,0,0,0,4
Liechtenstein,sapporo-1972,0,0,0,2
Hungary,sapporo-1972,0,0,0,1
Netherlands,sapporo-1972,4,3,2,2
Republic of Korea,sapporo-1972,0,0,0,2
Australia,sapporo-1972,0,0,0,2
Democratic People's Republic of Korea,sapporo-1972,0,0,0,1
Spain,sapporo-1972,1,0,0,1
Belgium,sapporo-1972,0,0,0,1
Argentina,sapporo-1972,0,0,0,1
Islamic Republic of Iran,sapporo-1972,0,0,0,1
New Zealand,sapporo-1972,0,0,0,1
Lebanon,sapporo-1972,0,0,0,1
Greece,sapporo-1972,0,0,0,1
Philippines,sapporo-1972,0,0,0,1
Pakistan,mexico-city-1968,1,0,0,2
Australia,mexico-city-1968,5,7,5,17
India,mexico-city-1968,0,0,1,5
Federal Republic of Germany,mexico-city-1968,5,11,10,20
Netherlands,mexico-city-1968,3,3,1,12
Spain,mexico-city-1968,0,0,0,10
New Zealand,mexico-city-1968,1,0,2,8
Kenya,mexico-city-1968,3,4,2,4
Belgium,mexico-city-1968,0,1,1,12
France,mexico-city-1968,7,3,5,17
German Democratic Republic (Germany),mexico-city-1968,9,9,7,20
Great Britain,mexico-city-1968,5,5,3,19
Japan,mexico-city-1968,11,7,7,18
Argentina,mexico-city-1968,0,0,2,14
Malaysia,mexico-city-1968,0,0,0,3
Mexico,mexico-city-1968,3,3,3,23
Czechoslovakia,mexico-city-1968,7,2,4,15
Soviet Union,mexico-city-1968,29,32,30,21
United States of America,mexico-city-1968,45,28,34,21
Canada,mexico-city-1968,1,3,1,17
Poland,mexico-city-1968,5,2,11,16
Austria,mexico-city-1968,0,2,2,11
Finland,mexico-city-1968,1,2,1,12
Italy,mexico-city-1968,3,4,9,19
Republic of Korea,mexico-city-1968,0,1,1,11
Sweden,mexico-city-1968,2,1,1,14
Cuba,mexico-city-1968,0,4,0,13
Colombia,mexico-city-1968,0,0,0,6
Puerto Rico,mexico-city-1968,0,0,0,8
Egypt,mexico-city-1968,0,0,0,6
Hungary,mexico-city-1968,10,10,12,16
Bulgaria,mexico-city-1968,2,4,3,12
Romania,mexico-city-1968,4,6,5,9
Norway,mexico-city-1968,1,1,0,10
Yugoslavia,mexico-city-1968,3,3,2,10
Greece,mexico-city-1968,0,0,1,7
Turkey,mexico-city-1968,2,0,0,4
Syrian Arab Republic,mexico-city-1968,0,0,0,1
Switzerland,mexico-city-1968,0,1,4,13
Mongolia,mexico-city-1968,0,1,3,4
Islamic Republic of Iran,mexico-city-1968,2,1,2,3
Bahamas,mexico-city-1968,0,0,0,3
Afghanistan,mexico-city-1968,0,0,0,1
Guatemala,mexico-city-1968,0,0,0,8
Morocco,mexico-city-1968,0,0,0,4
Philippines,mexico-city-1968,0,0,0,10
Portugal,mexico-city-1968,0,0,0,5
Iraq,mexico-city-1968,0,0,0,3
Ecuador,mexico-city-1968,0,0,0,6
Panama,mexico-city-1968,0,0,0,3
Dominican Republic,mexico-city-1968,0,0,0,4
Lebanon,mexico-city-1968,0,0,0,5
Denmark,mexico-city-1968,1,4,3,11
US Virgin Islands,mexico-city-1968,0,0,0,2
Brazil,mexico-city-1968,0,1,2,13
Netherlands Antilles,mexico-city-1968,0,0,0,1
Costa Rica,mexico-city-1968,0,0,0,6
Guyana,mexico-city-1968,0,0,0,4
Jamaica,mexico-city-1968,0,1,0,5
Indonesia,mexico-city-1968,0,0,0,2
Trinidad and Tobago,mexico-city-1968,0,0,0,5
Chinese Taipei,mexico-city-1968,0,0,1,9
Belize,mexico-city-1968,0,0,0,3
El Salvador,mexico-city-1968,0,0,0,7
Thailand,mexico-city-1968,0,0,0,7
Nicaragua,mexico-city-1968,0,0,0,3
Singapore,mexico-city-1968,0,0,0,3
Barbados,mexico-city-1968,0,0,0,4
Peru,mexico-city-1968,0,0,0,5
Iceland,mexico-city-1968,0,0,0,2
Israel,mexico-city-1968,0,0,0,3
Venezuela,mexico-city-1968,1,0,0,3
"Hong Kong, China",mexico-city-1968,0,0,0,3
Monaco,mexico-city-1968,0,0,0,1
South Vietnam,mexico-city-1968,0,0,0,4
Chile,mexico-city-1968,0,0,0,4
Ireland,mexico-city-1968,0,0,0,6
Malta,mexico-city-1968,0,0,0,1
San Marino,mexico-city-1968,0,0,0,2
Uruguay,mexico-city-1968,0,0,0,7
Bolivia,mexico-city-1968,0,0,0,2
Luxembourg,mexico-city-1968,0,0,0,3
Algeria,mexico-city-1968,0,0,0,2
Ghana,mexico-city-1968,0,0,0,3
Guinea,mexico-city-1968,0,0,0,1
Nigeria,mexico-city-1968,0,0,0,3
Ethiopia,mexico-city-1968,1,1,0,3
Democratic Republic of the Congo,mexico-city-1968,0,0,0,1
Madagascar,mexico-city-1968,0,0,0,2
Senegal,mexico-city-1968,0,0,0,2
Mali,mexico-city-1968,0,0,0,1
Uganda,mexico-city-1968,0,1,1,2
Sudan,mexico-city-1968,0,0,0,1
Sierra Leone,mexico-city-1968,0,0,0,2
Tunisia,mexico-city-1968,1,0,1,2
Sri Lanka,mexico-city-1968,0,0,0,3
Myanmar,mexico-city-1968,0,0,0,2
Zambia,mexico-city-1968,0,0,0,2
Niger,mexico-city-1968,0,0,0,1
Cameroon,mexico-city-1968,0,1,0,1
United Republic of Tanzania,mexico-city-1968,0,0,0,2
Liechtenstein,mexico-city-1968,0,0,0,1
Chad,mexico-city-1968,0,0,0,1
Kuwait,mexico-city-1968,0,0,0,1
Honduras,mexico-city-1968,0,0,0,1
Bermuda,mexico-city-1968,0,0,0,1
Austria,grenoble-1968,3,4,4,10
United States of America,grenoble-1968,1,5,1,10
France,grenoble-1968,4,3,2,10
Canada,grenoble-1968,1,1,1,9
Czechoslovakia,grenoble-1968,1,2,1,8
Soviet Union,grenoble-1968,5,5,3,8
German Democratic Republic (Germany),grenoble-1968,1,2,2,9
Federal Republic of Germany,grenoble-1968,2,2,3,10
Italy,grenoble-1968,4,0,0,8
Great Britain,grenoble-1968,0,0,0,7
Hungary,grenoble-1968,0,0,0,4
Japan,grenoble-1968,0,0,0,8
Sweden,grenoble-1968,3,2,3,9
Republic of Korea,grenoble-1968,0,0,0,4
Poland,grenoble-1968,0,0,0,7
Switzerland,grenoble-1968,0,2,4,7
Romania,grenoble-1968,0,0,1,5
Spain,grenoble-1968,0,0,0,3
Finland,grenoble-1968,1,2,2,7
Yugoslavia,grenoble-1968,0,0,0,4
Norway,grenoble-1968,6,6,2,8
Mongolia,grenoble-1968,0,0,0,3
Bulgaria,grenoble-1968,0,0,0,2
Denmark,grenoble-1968,0,0,0,1
Australia,grenoble-1968,0,0,0,3
Greece,grenoble-1968,0,0,0,2
Turkey,grenoble-1968,0,0,0,2
Liechtenstein,grenoble-1968,0,0,0,2
Argentina,grenoble-1968,0,0,0,2
New Zealand,grenoble-1968,0,0,0,1
Chile,grenoble-1968,0,0,0,1
India,grenoble-1968,0,0,0,1
Islamic Republic of Iran,grenoble-1968,0,0,0,1
Iceland,grenoble-1968,0,0,0,1
Lebanon,grenoble-1968,0,0,0,1
Morocco,grenoble-1968,0,0,0,1
Netherlands,grenoble-1968,3,3,3,1
India,tokyo-1964,1,0,0,9
Pakistan,tokyo-1964,0,1,0,7
Australia,tokyo-1964,6,2,10,21
Spain,tokyo-1964,0,0,0,8
Germany,tokyo-1964,10,22,18,22
Kenya,tokyo-1964,0,0,1,5
Netherlands,tokyo-1964,2,4,4,13
Japan,tokyo-1964,16,5,8,23
Malaysia,tokyo-1964,0,0,0,8
Great Britain,tokyo-1964,4,12,2,20
Zimbabwe,tokyo-1964,0,0,0,7
Belgium,tokyo-1964,2,0,1,12
New Zealand,tokyo-1964,3,0,2,10
Canada,tokyo-1964,1,2,1,15
"Hong Kong, China",tokyo-1964,0,0,0,7
Soviet Union,tokyo-1964,30,31,35,22
United States of America,tokyo-1964,36,26,28,22
Hungary,tokyo-1964,10,7,5,18
Sweden,tokyo-1964,2,2,4,13
Finland,tokyo-1964,3,0,2,13
Austria,tokyo-1964,0,0,0,13
Mexico,tokyo-1964,0,0,1,17
Italy,tokyo-1964,10,10,7,20
Brazil,tokyo-1964,0,0,1,10
Chile,tokyo-1964,0,0,0,5
Republic of Korea,tokyo-1964,0,2,1,16
Denmark,tokyo-1964,2,1,3,10
France,tokyo-1964,1,8,6,16
Norway,tokyo-1964,0,0,0,6
Switzerland,tokyo-1964,1,2,1,13
Trinidad and Tobago,tokyo-1964,0,1,2,4
Turkey,tokyo-1964,2,3,1,4
Bahamas,tokyo-1964,1,0,0,2
Portugal,tokyo-1964,0,0,0,6
Argentina,tokyo-1964,0,1,0,17
Venezuela,tokyo-1964,0,0,0,5
Cambodia,tokyo-1964,0,0,0,4
Bermuda,tokyo-1964,0,0,0,1
Greece,tokyo-1964,0,0,0,4
Ireland,tokyo-1964,0,0,1,6
Philippines,tokyo-1964,0,1,0,8
Thailand,tokyo-1964,0,0,0,9
Jamaica,tokyo-1964,0,0,0,4
Czechoslovakia,tokyo-1964,5,6,3,13
Puerto Rico,tokyo-1964,0,0,0,8
Bulgaria,tokyo-1964,3,5,2,9
Romania,tokyo-1964,2,4,6,13
Mongolia,tokyo-1964,0,0,0,5
Egypt,tokyo-1964,0,0,0,8
Poland,tokyo-1964,7,6,10,13
Afghanistan,tokyo-1964,0,0,0,1
Islamic Republic of Iran,tokyo-1964,0,0,2,10
Panama,tokyo-1964,0,0,0,5
Sri Lanka,tokyo-1964,0,0,0,4
Yugoslavia,tokyo-1964,2,1,2,8
Luxembourg,tokyo-1964,0,0,0,5
Zambia,tokyo-1964,0,0,0,3
Ghana,tokyo-1964,0,0,1,3
Morocco,tokyo-1964,0,0,0,4
Uganda,tokyo-1964,0,0,0,2
Ivory Coast,tokyo-1964,0,0,0,2
Cuba,tokyo-1964,0,1,0,4
Chinese Taipei,tokyo-1964,0,0,0,8
Nepal,tokyo-1964,0,0,0,2
Ethiopia,tokyo-1964,1,0,0,3
Niger,tokyo-1964,0,0,0,1
Nigeria,tokyo-1964,0,0,1,2
Iraq,tokyo-1964,0,0,0,3
Myanmar,tokyo-1964,0,0,0,4
Tunisia,tokyo-1964,0,1,1,3
Uruguay,tokyo-1964,0,0,1,4
Colombia,tokyo-1964,0,0,0,5
South Vietnam,tokyo-1964,0,0,0,4
Peru,tokyo-1964,0,0,0,4
Costa Rica,tokyo-1964,0,0,0,1
Iceland,tokyo-1964,0,0,0,2
Democratic People's Republic of Korea,tokyo-1964,0,0,0,2
Lebanon,tokyo-1964,0,0,0,2
Netherlands Antilles,tokyo-1964,0,0,0,1
Guyana,tokyo-1964,0,0,0,1
Monaco,tokyo-1964,0,0,0,1
Algeria,tokyo-1964,0,0,0,1
Liechtenstein,tokyo-1964,0,0,0,1
Mali,tokyo-1964,0,0,0,1
United Republic of Tanzania,tokyo-1964,0,0,0,1
Bolivia,tokyo-1964,0,0,0,1
Libya,tokyo-1964,0,0,0,1
Madagascar,tokyo-1964,0,0,0,1
Chad,tokyo-1964,0,0,0,1
Congo,tokyo-1964,0,0,0,1
Senegal,tokyo-1964,0,0,0,1
Israel,tokyo-1964,0,0,0,2
Soviet Union,innsbruck-1964,11,8,6,8
Norway,innsbruck-1964,3,6,6,9
Romania,innsbruck-1964,0,0,0,4
Poland,innsbruck-1964,0,0,0,8
Finland,innsbruck-1964,3,4,3,7
Sweden,innsbruck-1964,3,3,1,8
United States of America,innsbruck-1964,1,2,4,10
Japan,innsbruck-1964,0,0,0,8
Germany,innsbruck-1964,3,3,3,10
Austria,innsbruck-1964,4,5,3,10
Great Britain,innsbruck-1964,1,0,0,7
France,innsbruck-1964,3,4,0,5
Mongolia,innsbruck-1964,0,0,0,3
Switzerland,innsbruck-1964,0,0,0,10
Netherlands,innsbruck-1964,1,1,0,2
Canada,innsbruck-1964,1,1,1,8
Czechoslovakia,innsbruck-1964,0,0,1,8
Hungary,innsbruck-1964,0,0,0,6
Italy,innsbruck-1964,0,1,3,9
Bulgaria,innsbruck-1964,0,0,0,2
Yugoslavia,innsbruck-1964,0,0,0,4
Iceland,innsbruck-1964,0,0,0,2
Denmark,innsbruck-1964,0,0,0,2
Republic of Korea,innsbruck-1964,0,0,0,3
Democratic People's Republic of Korea,innsbruck-1964,0,1,0,2
Liechtenstein,innsbruck-1964,0,0,0,2
Spain,innsbruck-1964,0,0,0,1
Belgium,innsbruck-1964,0,0,0,3
Australia,innsbruck-1964,0,0,0,1
Argentina,innsbruck-1964,0,0,0,3
Chile,innsbruck-1964,0,0,0,1
Islamic Republic of Iran,innsbruck-1964,0,0,0,1
Turkey,innsbruck-1964,0,0,0,1
Lebanon,innsbruck-1964,0,0,0,1
Greece,innsbruck-1964,0,0,0,1
India,innsbruck-1964,0,0,0,1
Yugoslavia,rome-1960,1,1,0,11
Denmark,rome-1960,2,3,1,15
Hungary,rome-1960,6,8,7,19
Italy,rome-1960,13,10,13,21
Bulgaria,rome-1960,1,3,3,13
Brazil,rome-1960,0,0,2,13
Argentina,rome-1960,0,1,1,17
France,rome-1960,0,2,3,21
Turkey,rome-1960,7,2,0,5
Great Britain,rome-1960,2,6,12,20
Poland,rome-1960,4,6,11,17
Peru,rome-1960,0,0,0,2
United Arab Republic,rome-1960,0,1,1,10
Chinese Taipei,rome-1960,0,1,0,5
Tunisia,rome-1960,0,0,0,5
India,rome-1960,0,1,0,6
Australia,rome-1960,8,8,6,16
Switzerland,rome-1960,0,3,3,18
Ireland,rome-1960,0,0,0,9
Canada,rome-1960,0,1,0,13
Germany,rome-1960,12,19,11,20
Portugal,rome-1960,0,1,0,10
Romania,rome-1960,3,1,6,15
Spain,rome-1960,0,0,1,13
Soviet Union,rome-1960,43,29,31,20
Sweden,rome-1960,1,2,3,16
United States of America,rome-1960,34,21,16,19
Czechoslovakia,rome-1960,3,2,3,13
Norway,rome-1960,1,0,0,9
Lebanon,rome-1960,0,0,0,4
Austria,rome-1960,1,1,0,16
Chile,rome-1960,0,0,0,3
